Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Social-professional groups;Observation_Zone;Mode;Volume
202002;07:30:00;WE;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;79
202002;07:30:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;104
202002;07:30:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;77
202002;07:30:00;WE;Lomami;Haut-Lomami;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;31
202002;07:30:00;WE;Lomami;Haut-Lomami;3h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;31
202002;07:30:00;WE;Lualaba;Haut-Katanga;1h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;WE;Lualaba;Haut-Katanga;3h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;51
202002;08:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;457
202002;08:00:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;104
202002;08:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;334
202002;08:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;540
202002;08:00:00;JO;Hors_Zone;Kwilu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;208
202002;08:00:00;JO;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;79
202002;08:00:00;JO;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;53
202002;08:00:00;JO;Hors_Zone;Tshopo;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;51
202002;08:00:00;JO;Kasai-Oriental;Lomami;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;25
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;25
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Study_Zone_Resident;Study_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;176
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;50
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Study_Zone_Resident;Study_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;151
