Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Gender;Observation_Zone;Mode;Volume
202002;07:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;99
202002;07:30:00;JO;Kongo-Central;Kinshasa;3h;Outside_Resident;Outside_Worker;F;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;96
202002;07:30:00;JO;Kwilu;Kinshasa;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Lualaba;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;27
202002;07:30:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;23
202002;07:30:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;51
202002;07:30:00;WE;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;25
202002;07:30:00;WE;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;21
202002;07:30:00;WE;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;36
202002;07:30:00;WE;Lomami;Haut-Lomami;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;31
202002;07:30:00;WE;Lomami;Haut-Lomami;3h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;31
202002;07:30:00;WE;Lualaba;Haut-Katanga;1h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;07:30:00;WE;Lualaba;Haut-Katanga;3h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;F;ZoneGlobale;All_modes;24
202002;08:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;83
202002;08:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;79
202002;08:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;83
202002;08:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;156
202002;08:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;21
202002;08:00:00;JO;Hors_Zone;Kwilu;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Study_Zone_Resident;Study_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;56
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;25
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Study_Zone_Resident;Study_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;26
202002;08:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;41
202002;08:00:00;JO;Kongo-Central;Kinshasa;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;28
202002;08:00:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;47
202002;08:00:00;JO;Kongo-Central;Kinshasa;3h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;52
202002;08:00:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;41
202002;08:00:00;JO;Lualaba;Haut-Katanga;3h;Outside_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;26
