Period;Day_type;Zone;Home_Zone;Activity_Zone;PresenceType;Gender;Volume
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Jour;F;6264
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Jour;M;12721
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Jour;NA;10308
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Nuit;F;794
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Nuit;M;1692
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Nuit;NA;1297
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Jour;F;1456
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Jour;M;3005
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Jour;NA;1646
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Nuit;F;172
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Nuit;M;540
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Nuit;NA;310
202002;JO;Kasai-Oriental;Kasai-Central;Kasai-Central;Jour;M;88
202002;JO;Kasai-Oriental;Kasai-Central;Kasai-Central;Nuit;M;95
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Central;Jour;F;25
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Jour;F;2694
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Jour;M;5901
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Jour;NA;2210
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Nuit;F;2481
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Nuit;M;5416
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Nuit;NA;1999
202002;JO;Kasai-Oriental;Kinshasa;Kinshasa;Jour;M;219
202002;JO;Kasai-Oriental;Kinshasa;Kinshasa;Nuit;M;173
202002;JO;Kasai-Oriental;Lomami;Lomami;Jour;M;126
202002;JO;Kasai-Oriental;Lomami;Lomami;Nuit;M;21
202002;JO;Kinshasa;Haut-Katanga;Haut-Katanga;Jour;F;47
202002;JO;Kinshasa;Haut-Katanga;Haut-Katanga;Jour;M;449
202002;JO;Kinshasa;Haut-Katanga;Haut-Katanga;Jour;NA;68
202002;JO;Kinshasa;Haut-Katanga;Haut-Katanga;Nuit;M;294
202002;JO;Kinshasa;Haut-Katanga;Kinshasa;Jour;M;55
202002;JO;Kinshasa;Haut-Katanga;Kinshasa;Nuit;M;49
202002;JO;Kinshasa;Hors_Zone;Haut-Katanga;Jour;M;51
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Jour;F;42229
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Jour;M;96921
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Jour;NA;53755
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Nuit;F;12613
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Nuit;M;29052
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Nuit;NA;15931
202002;JO;Kinshasa;Hors_Zone;Kasai-Oriental;Jour;M;39
202002;JO;Kinshasa;Hors_Zone;Kinshasa;Jour;F;21520
202002;JO;Kinshasa;Hors_Zone;Kinshasa;Jour;M;50973
202002;JO;Kinshasa;Hors_Zone;Kinshasa;Jour;NA;20375
202002;JO;Kinshasa;Hors_Zone;Kinshasa;Nuit;F;6313
