Origine;NomOrigine;Destination;NomDestination;Distance
11;Kongo-Central;16;Kasai-Oriental;1024050,771
11;Kongo-Central;17;Kwilu;484582,4561
11;Kongo-Central;18;Mai-Ndombe;549119,6406
11;Kongo-Central;19;Maniema;1366204,425
11;Kongo-Central;20;Kwango;413160,9565
11;Kongo-Central;21;Haut-Uele;1852662,385
11;Kongo-Central;22;Sud-Ubangi;1083001,658
11;Kongo-Central;23;Kasai-Central;911329,8429
11;Kongo-Central;24;Equateur;796659,1467
11;Kongo-Central;25;Haut-Lomami;1271170,417
11;Kongo-Central;26;Nord-Kivu;1681261,361
12;Ituri;1;Tanganyika;931440,8493
12;Ituri;2;Mongala;889027,1381
12;Ituri;3;Sankuru;874535,6356
12;Ituri;4;Haut-Katanga;1361836,261
12;Ituri;5;Lualaba;1424367,829
12;Ituri;6;Kinshasa;1659065,693
12;Ituri;7;Nord-Ubangi;965928,3448
12;Ituri;8;Tshuapa;901427,2921
12;Ituri;9;Sud-Kivu;566756,164
12;Ituri;10;Tshopo;497681,1086
12;Ituri;11;Kongo-Central;1859159,675
12;Ituri;13;Kasai;1191766,665
12;Ituri;14;Bas-Uele;526468,7793
12;Ituri;15;Lomami;1031263,107
12;Ituri;16;Kasai-Oriental;1097882,716
12;Ituri;17;Kwilu;1405775,019
12;Ituri;18;Mai-Ndombe;1315786,484
12;Ituri;19;Maniema;634902,1909
12;Ituri;20;Kwango;1578069,982
12;Ituri;21;Haut-Uele;202965,2235
12;Ituri;22;Sud-Ubangi;1137666,804
12;Ituri;23;Kasai-Central;1176876,471
12;Ituri;24;Equateur;1189080,077
12;Ituri;25;Haut-Lomami;1193273,146
12;Ituri;26;Nord-Kivu;275329,9576
13;Kasai;1;Tanganyika;806260,8295
13;Kasai;2;Mongala;780529,8618
13;Kasai;3;Sankuru;321525,4577
13;Kasai;4;Haut-Katanga;959781,5529
13;Kasai;5;Lualaba;622197,1749
13;Kasai;6;Kinshasa;578981,3134
13;Kasai;7;Nord-Ubangi;975054,665
13;Kasai;8;Tshuapa;478961,0988
13;Kasai;9;Sud-Kivu;817048,7239
13;Kasai;10;Tshopo;754169,5923
13;Kasai;11;Kongo-Central;753849,208
13;Kasai;12;Ituri;1191766,665
13;Kasai;14;Bas-Uele;1049385,481
13;Kasai;15;Lomami;420056,6804
13;Kasai;16;Kasai-Oriental;298714,3501
13;Kasai;17;Kwilu;272387,8955
13;Kasai;18;Mai-Ndombe;379646,4416
13;Kasai;19;Maniema;625536,4973
13;Kasai;20;Kwango;394563,9078
13;Kasai;21;Haut-Uele;1238873,83
13;Kasai;22;Sud-Ubangi;910202,8995
13;Kasai;23;Kasai-Central;208417,5314
13;Kasai;24;Equateur;622062,6746
13;Kasai;25;Haut-Lomami;600695,456
13;Kasai;26;Nord-Kivu;971932,3554
14;Bas-Uele;1;Tanganyika;1177622,702
14;Bas-Uele;2;Mongala;437695,556
14;Bas-Uele;3;Sankuru;804496,7372
14;Bas-Uele;4;Haut-Katanga;1584976,457
14;Bas-Uele;5;Lualaba;1495517,741
14;Bas-Uele;6;Kinshasa;1360212,67
14;Bas-Uele;7;Nord-Ubangi;453658,6554
14;Bas-Uele;8;Tshuapa;605905,2346
14;Bas-Uele;9;Sud-Kivu;832526,1891
14;Bas-Uele;10;Tshopo;347855,9733
